# Czech Republic Fertility Rates — Eurostat dataset: demo_frate
# Retrieved: 2026-03-28 21:51 UTC
# Source: https://ec.europa.eu/eurostat
year,indicator,age,geo,value
1960,?,TOTAL,CZ,2.09313
1961,?,TOTAL,CZ,2.11278
1962,?,TOTAL,CZ,2.1197
1963,?,TOTAL,CZ,2.31063
1964,?,TOTAL,CZ,2.33898
1965,?,TOTAL,CZ,2.17944
1966,?,TOTAL,CZ,2.02246
1967,?,TOTAL,CZ,1.90845
1968,?,TOTAL,CZ,1.83844
1969,?,TOTAL,CZ,1.87449
1970,?,TOTAL,CZ,1.91837
1971,?,TOTAL,CZ,1.99543
1972,?,TOTAL,CZ,2.09422
1973,?,TOTAL,CZ,2.3119
1974,?,TOTAL,CZ,2.46399
1975,?,TOTAL,CZ,2.43291
1976,?,TOTAL,CZ,2.38987
1977,?,TOTAL,CZ,2.34049
1978,?,TOTAL,CZ,2.32867
1979,?,TOTAL,CZ,2.27412
1980,?,TOTAL,CZ,2.07748
1981,?,TOTAL,CZ,1.99711
1982,?,TOTAL,CZ,2.00167
1983,?,TOTAL,CZ,1.96762
1984,?,TOTAL,CZ,1.96855
1985,?,TOTAL,CZ,1.95244
1986,?,TOTAL,CZ,1.91981
1987,?,TOTAL,CZ,1.91066
1988,?,TOTAL,CZ,1.94102
1989,?,TOTAL,CZ,1.87431
1990,?,TOTAL,CZ,1.90025
1991,?,TOTAL,CZ,1.86046
1992,?,TOTAL,CZ,1.71413
1993,?,TOTAL,CZ,1.6653
1994,?,TOTAL,CZ,1.43835
1995,?,TOTAL,CZ,1.27804
1996,?,TOTAL,CZ,1.18489
1997,?,TOTAL,CZ,1.17219
1998,?,TOTAL,CZ,1.15637
1999,?,TOTAL,CZ,1.13242
2000,?,TOTAL,CZ,1.14722
2001,?,TOTAL,CZ,1.14657
2002,?,TOTAL,CZ,1.17205
2003,?,TOTAL,CZ,1.18072
2004,?,TOTAL,CZ,1.23013
2005,?,TOTAL,CZ,1.28764
2006,?,TOTAL,CZ,1.33656
2007,?,TOTAL,CZ,1.44847
2008,?,TOTAL,CZ,1.51234
2009,?,TOTAL,CZ,1.51005
2010,?,TOTAL,CZ,1.51363
2011,?,TOTAL,CZ,1.4266
2012,?,TOTAL,CZ,1.45163
2013,?,TOTAL,CZ,1.45545
2014,?,TOTAL,CZ,1.52756
2015,?,TOTAL,CZ,1.56948
2016,?,TOTAL,CZ,1.62987
2017,?,TOTAL,CZ,1.68576
2018,?,TOTAL,CZ,1.70756
2019,?,TOTAL,CZ,1.70834
2020,?,TOTAL,CZ,1.74134
2021,?,TOTAL,CZ,1.82575
2022,?,TOTAL,CZ,1.638
2023,?,TOTAL,CZ,1.4557
2024,?,TOTAL,CZ,1.36401
1960,?,Y10-14,CZ,4e-05
1961,?,Y10-14,CZ,5e-05
1962,?,Y10-14,CZ,4e-05
1963,?,Y10-14,CZ,7e-05
1964,?,Y10-14,CZ,5e-05
1965,?,Y10-14,CZ,5e-05
1966,?,Y10-14,CZ,5e-05
1967,?,Y10-14,CZ,6e-05
1968,?,Y10-14,CZ,8e-05
1969,?,Y10-14,CZ,5e-05
1970,?,Y10-14,CZ,7e-05
1971,?,Y10-14,CZ,8e-05
1972,?,Y10-14,CZ,5e-05
1973,?,Y10-14,CZ,5e-05
1974,?,Y10-14,CZ,5e-05
1975,?,Y10-14,CZ,5e-05
