year,base,upper,lower,margin
2025,1.6216,1.7837,1.4594,0.1
2026,1.6075,1.7703,1.4447,0.1013
2027,1.5935,1.7569,1.4301,0.1025
2028,1.5795,1.7434,1.4155,0.1038
2029,1.5655,1.73,1.401,0.1051
2030,1.5515,1.7164,1.3865,0.1063
2031,1.5374,1.7029,1.372,0.1076
2032,1.5234,1.6893,1.3576,0.1089
2033,1.5094,1.6756,1.3432,0.1101
2034,1.4954,1.662,1.3288,0.1114
2035,1.4814,1.6483,1.3145,0.1127
2036,1.4673,1.6345,1.3002,0.1139
2037,1.4533,1.6207,1.2859,0.1152
2038,1.4393,1.6069,1.2717,0.1165
2039,1.4253,1.5931,1.2575,0.1177
2040,1.4113,1.5792,1.2433,0.119
2041,1.3973,1.5653,1.2292,0.1203
2042,1.3832,1.5513,1.2151,0.1215
2043,1.3692,1.5373,1.2011,0.1228
2044,1.3552,1.5233,1.1871,0.1241
2045,1.3412,1.5092,1.1731,0.1253
2046,1.3272,1.4952,1.1592,0.1266
2047,1.3131,1.481,1.1453,0.1278
2048,1.2991,1.4669,1.1314,0.1291
2049,1.2851,1.4527,1.1176,0.1304
2050,1.2711,1.4384,1.1038,0.1316
2051,1.2571,1.4241,1.09,0.1329
2052,1.243,1.4098,1.0763,0.1342
2053,1.229,1.3955,1.0626,0.1354
2054,1.215,1.3811,1.0489,0.1367
2055,1.201,1.3667,1.0353,0.138
2056,1.187,1.3522,1.0217,0.1392
2057,1.173,1.3378,1.0081,0.1405
2058,1.1589,1.3232,0.9946,0.1418
2059,1.1449,1.3087,0.9811,0.143
2060,1.1309,1.2941,0.9677,0.1443
2061,1.1169,1.2795,0.9543,0.1456
2062,1.1029,1.2648,0.9409,0.1468
2063,1.0888,1.2501,0.9276,0.1481
2064,1.0748,1.2354,0.9143,0.1494
2065,1.0608,1.2206,0.901,0.1506
2066,1.0468,1.2058,0.8878,0.1519
2067,1.0328,1.1909,0.8746,0.1532
2068,1.0187,1.1761,0.8614,0.1544
2069,1.0047,1.1612,0.8483,0.1557
2070,0.9907,1.1462,0.8352,0.157
2071,0.9767,1.1312,0.8221,0.1582
2072,0.9627,1.1162,0.8091,0.1595
2073,0.9487,1.1012,0.7961,0.1608
2074,0.9346,1.0861,0.7832,0.162
2075,0.9206,1.0709,0.7703,0.1633
2076,0.9066,1.0558,0.7574,0.1646
2077,0.8926,1.0406,0.7446,0.1658
2078,0.8786,1.0254,0.7318,0.1671
2079,0.8645,1.0101,0.719,0.1684
2080,0.8505,0.9948,0.7063,0.1696
2081,0.8365,0.9794,0.6936,0.1709
2082,0.8225,0.9641,0.6809,0.1722
2083,0.8085,0.9487,0.6683,0.1734
2084,0.7944,0.9332,0.6557,0.1747
2085,0.7804,0.9177,0.6431,0.1759
2086,0.7664,0.9022,0.6306,0.1772
2087,0.7524,0.8867,0.6181,0.1785
2088,0.7384,0.8711,0.6057,0.1797
2089,0.7244,0.8555,0.5932,0.181
2090,0.7103,0.8398,0.5809,0.1823
2091,0.6963,0.8241,0.5685,0.1835
2092,0.6823,0.8084,0.5562,0.1848
2093,0.6683,0.7926,0.5439,0.1861
2094,0.6543,0.7768,0.5317,0.1873
2095,0.6402,0.761,0.5195,0.1886
2096,0.6262,0.7451,0.5073,0.1899
2097,0.6122,0.7292,0.4952,0.1911
2098,0.5982,0.7133,0.4831,0.1924
2099,0.5842,0.6973,0.471,0.1937
2100,0.5701,0.6813,0.459,0.1949
2101,0.5561,0.6652,0.447,0.1962
2102,0.5421,0.6492,0.4351,0.1975
2103,0.5281,0.633,0.4231,0.1987
2104,0.5141,0.6169,0.4113,0.2
